system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60,date,lat,lon,.geo
307,1473,81,42,1195,779,379,318,262,248,221,203,0,2023-05-14,41.96790268018048,32.69761085362122,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,1259,1414,625,981,905,631,934,2182,2704,2505,3015,0,2023-12-19,-10.183598867107971,28.01175339326114,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,3824,962,861,2936,2322,2435,2656,2797,2793,2528,2883,0,2023-10-27,64.26807982764926,166.4183812762497,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,1764,3067,2680,1691,1869,2245,2183,2260,2386,2462,2439,0,2023-02-05,28.874426249802468,56.57665696291965,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,5339,181,170,5319,4663,4950,3294,2647,3160,4103,2978,0,2023-04-27,78.89326241142548,48.032651206578365,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,1710,542,418,1263,859,729,661,675,701,565,716,0,2023-06-26,15.83435138329709,-80.13644762619481,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,1485,2403,1980,1259,1211,1396,1518,1593,1726,1730,1836,0,2023-03-22,47.3353938184333,67.9274513007651,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,2522,1313,1051,2203,1827,1693,1571,1593,1619,1541,1601,0,2023-12-30,-25.583668334314122,-130.74600095458703,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,6931,958,892,6369,5854,6429,7357,7590,7467,6777,7491,0,2023-12-19,42.7486468238792,115.33865648660475,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,2972,332,286,2688,2308,2465,2600,3047,3005,2983,2986,0,2023-12-05,45.93960171274465,135.84705379015298,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,1527,3192,2328,1368,1402,1786,1877,2053,2291,2179,2419,0,2023-11-08,16.46780493479464,-10.575324091588692,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,1458,298,195,1096,750,569,498,478,491,400,453,0,2023-12-11,8.452851249423505,-45.66969423796074,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,1320,24,12,911,536,276,225,189,165,131,115,0,2023-08-10,70.87073284113691,-64.19196455858275,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,4150,3199,2390,3934,3527,3652,3521,3592,3768,3428,3828,0,2023-07-11,66.36072895824971,-55.01779212986557,"{""type"":""MultiPoint"",""coordinates"":[]}"
350,1326,172,152,919,510,335,321,309,307,220,279,0,2023-08-10,-22.544815956994242,-137.63439442343721,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,1501,101,55,1158,823,487,407,344,331,286,254,0,2023-07-27,64.3176982053514,-14.755714593642455,"{""type"":""MultiPoint"",""coordinates"":[]}"
356,3021,3316,2227,2729,2530,2420,2613,3795,4643,4277,5132,0,2023-08-25,35.92366358478052,-84.75549645805674,"{""type"":""MultiPoint"",""coordinates"":[]}"
362,1834,1995,1002,1334,1256,801,1264,2733,3529,3089,3901,0,2023-06-07,5.425151729871464,5.889452944061575,"{""type"":""MultiPoint"",""coordinates"":[]}"
